teamId,leagueId,name,logo,foundingDate,address,area,venue,capacity,coach,website,isNational
19,1639,Arsenal,http://zq.titan007.com/Image/team/images/19/1kenbrx1hg1z.png?win007=sell,1886-1-1,Emirates Stadium Ashburton Grove London,London,Emirates Stadium,60361,Amatriain Arteta Mikel,http://www.arsenal.com,False
20,1639,Aston Villa,http://zq.titan007.com/Image/team/images/20/1kenbrwzj42k.png?win007=sell,1874,Villa Park， Trinity Road， GB- BIRMINGHAM B6 6HE,Birmingham,Villa Park,42788,Unai Emery Etxegoien,http://www.avfc.co.uk/,False
24,1639,Chelsea,http://zq.titan007.com/Image/team/images/24/1kenbrwz272p.png?win007=sell,1905-3-10,"Stamford Bridge, London SW6 1HS",London,Stamford Bridge stadium,42055,Liam Rosenior,https://www.chelseafc.com/en,False
25,1639,Liverpool,http://zq.titan007.com/Image/team/images/1jq85dyw7v2x.png?win007=sell,1892,Anfield Road， GB- LIVERPOOL L4 OTH,Liverpool,Anfield,45522,Arne Slot,http://www.liverpoolfc.tv/,False
26,1639,Manchester City,http://zq.titan007.com/Image/team/images/26/1kenbrwykc26.png?win007=sell,1880,Maine Road Moss Side Manchester M14 7W,Manchester,Etihad Stadium,47805,Josep Guardiola,https://www.mancity.com/,False
27,1639,Manchester United,http://zq.titan007.com/Image/team/images/27/1kenbrwykps.png?win007=sell,1878,"Sir Matt Busby Way, Old Trafford, GB- MANCHESTER M16 0RA",Manchester,Old Trafford,76180,Michael Carrick,http://www.manutd.com/,False
28,1639,Newcastle United,http://zq.titan007.com/Image/team/images/28/1kenbrx11j2w.png?win007=sell,1881,Saint James' Park， GB- NEWCASTLE-UPON-TYNE NE1 4ST,Newcastle,St James Park,52409,Eddie Howe,http://www.nufc.co.uk/,False
29,1639,Fulham,http://zq.titan007.com/Image/team/images/29/1khfjvec6d2z.png?win007=sell,1879-1-1,"Fulham Football Club (1987 Ltd), Craven Cottage, Stevenage Road, London SW6 6HH",London,Craven Cottage,25700,Marco Silva,http://www.fulhamfc.com,False
31,1639,Everton,http://zq.titan007.com/Image/team/images/31/1kenbrwz241f.png?win007=sell,1878,Goodison Park， GB- LIVERPOOL L4 4EL,Liverpool,Hill Dickinson Stadium,40260,David Moyes,http://www.evertonfc.com/,False
33,1639,Tottenham Hotspur,http://zq.titan007.com/Image/team/images/33/1kenbrwykf1p.png?win007=sell,1882,748 High Road， Tottenham， GB- LONDON N17 0AP,London,Tottenham Hotspur Stadium,36310,Igor Tudor,https://www.tottenhamhotspur.com/,False
35,1639,Crystal Palace,http://zq.titan007.com/Image/team/images/35/1kenbrwyk39.png?win007=sell,1905-9-10,Selhurst Park Stadium London SE25 6PU,London,Selhurst Park Stadium,26225,Oliver Glasner,https://www.cpfc.co.uk/,False
46,1639,Burnley,http://zq.titan007.com/Image/team/images/46/1kenbrwykm1a.png?win007=sell,1882,Burnley BB10 4BX,Burnley,Turf Moor Stadium,22610,Scott Matthew Parker,http://www.burnleyfootballclub.com,False
49,1639,Nottingham Forest,http://zq.titan007.com/Image/team/images/164869100556.png?win007=sell,1865,"The City Ground, Nottingham, NG2 5FJ",Nottingham,City Ground,30600,Vitor Pereira,http://www.nottinghamforest.co.uk/,False
52,1639,Wolves,http://zq.titan007.com/Image/team/images/52/1kenbrwy3pa.png?win007=sell,1877,Wolverhampton WV1 4QR,England,Molineux Stadium,28565,Robert Owen Edwards,http://www.wolves.co.uk,False
56,1639,Leeds United,http://zq.titan007.com/Image/team/images/56/1kenbrwy3m15.png?win007=sell,1904,Elland Road， GB- LEEDS LS11 0ES,Leeds,Elland Road Stadium,39457,Daniel Farke,http://www.leedsunited.com,False
60,1639,Brighton Hove Albion,http://zq.titan007.com/Image/team/images/60/1kenbrwzjqw.png?win007=sell,1901,Brighton Hove Albion Football Club Derek ALLEN Northwest Suite Eighth Floor Tower Point 44 North R,Brighton,American Express Community Stadium,8850,Fabian Hurzeler,http://www.seagulls.co.uk/,False
62,1639,West Ham United,http://zq.titan007.com/Image/team/images/62/1kenbrwz2t23.png?win007=sell,1895,Boleyn Ground， Green Street， Upton Park， GB- LONDON E13 9AZ,London,London Stadium,35303,Nuno Herlander Simoes Espirito Santo,http://www.whufc.com/,False
65,1639,Sunderland A.F.C,http://zq.titan007.com/Image/team/images/65/1kenbrx1hsp.png?win007=sell,1879,Stadium Park， GB- SUNDERLAND SR5 1BT,Sunderland,Stadium of Light,49000,Regis Le Bris,http://www.safc.com/,False
348,1639,AFC Bournemouth,http://zq.titan007.com/Image/team/images/348/1kenbrwz2jd.png?win007=sell,1899,Bournemouth Football Club Mrs Mandy VAUGHAN 33 Kings Park Road BOURNEMOUTH BH7 7AE United Kingdom,Bournemouth,Vitality Stadium,10375,Andoni Iraola Sagama,http://www.afcb.co.uk/,False
365,1639,Brentford,http://zq.titan007.com/Image/team/images/365/1kenbrx1hb1c.png?win007=sell,1889/10/9,Brentford Football Club Ms Polly KATES Griffin Park Braemer Road BRENTFORD TW8 0NT United Kingdom,Brentford,Brentford Community Stadium,12763,Keith Andrews,http://www.brentfordfc.co.uk/,False
